# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-32.3454,-3.0965,-1.70424,0.612979,0.523788
0,-34.2189,-5.39752,-1.55493,0.393446,0.429455
0,-26.336,-0.11713,-1.55241,0.649843,0.485999
0,-28.2647,-1.94419,-1.7025,0.736905,0.484093
0,-26.3814,-0.332957,-1.5976,0.661211,0.458003
0,-27.8559,-1.84562,-1.45836,0.549101,0.500686
0,-28.044,-3.45057,-1.77493,0.601556,0.45483
0,-26.3201,-0.197718,-1.55934,0.688834,0.471457
0,-27.3674,-1.58921,-1.52334,0.78378,0.468163
0,-26.7704,-1.13417,-1.62934,0.754102,0.472274
0,-30.6789,-2.07059,-1.49347,0.500869,0.450558
0,-26.4961,-1.91882,-1.4914,0.6692,0.518468
0,-28.0892,-0.870439,-1.59937,0.544921,0.494941
0,-27.6275,-2.32808,-1.48572,0.804365,0.480499
0,-29.0155,-2.08507,-1.59878,0.621308,0.526862
0,-27.1955,-1.03547,-1.62381,0.734134,0.492967
0,-29.1698,-1.99304,-1.53906,0.646803,0.426362
0,-32.6813,-3.25881,-1.69976,0.580755,0.524941
0,-26.7593,-1.30507,-1.54016,0.771755,0.485285
0,-29.1806,-2.0015,-1.56038,0.567436,0.429278
0,-35.8276,-4.36676,-1.37634,0.549732,0.4353
0,-28.4146,-2.68584,-1.58122,0.748073,0.52518
0,-27.2384,-0.4664,-1.51795,0.575593,0.482435
0,-31.7135,-3.36752,-1.61612,0.413471,0.487384
0,-26.3092,-0.486076,-1.5363,0.711244,0.48344
0,-28.1258,-2.41445,-1.60088,0.804188,0.50251
0,-32.5974,-2.87937,-1.43423,0.626975,0.430919
0,-27.8262,-0.911784,-1.677,0.616724,0.485862
0,-28.0737,-0.763103,-1.4889,0.57175,0.469801
0,-28.9229,-2.85143,-1.61222,0.79321,0.514546
0,-26.4951,-0.486441,-1.50485,0.636488,0.490988
0,-28.124,-1.64803,-1.5212,0.532466,0.507793
0,-26.7177,-0.130779,-1.53521,0.638468,0.468497
0,-26.6673,-1.4427,-1.62912,0.664821,0.437367
0,-27.4756,-1.91787,-1.57306,0.796109,0.456423
0,-27.5785,-1.84961,-1.43469,0.582579,0.497793
0,-28.2027,-2.97379,-1.58944,0.835303,0.452552
0,-27.6719,-0.521843,-1.54987,0.553907,0.466892
0,-27.0129,-1.76794,-1.62782,0.782287,0.460491
0,-28.9598,-1.23764,-1.47087,0.548497,0.467705
0,-27.1556,-0.818093,-1.5107,0.720411,0.463551
0,-27.1784,-1.0713,-1.60868,0.732895,0.49788
0,-27.124,-0.709246,-1.56855,0.650442,0.445832
0,-28.1045,-1.44394,-1.43112,0.604663,0.480967
0,-28.7595,-1.08673,-1.52584,0.524548,0.461617
0,-26.5447,-0.183578,-1.52439,0.632016,0.481925
0,-27.3763,-0.469265,-1.58841,0.572921,0.491531
0,-27.6243,-0.676983,-1.56673,0.573059,0.452435
0,-27.9126,-2.11593,-1.59063,0.767114,0.511754
0,-27.5363,-1.0581,-1.66549,0.560309,0.467593
0,-27.6271,-1.02136,-1.6733,0.571895,0.472916
0,-27.0219,-3.312,-1.49316,0.708952,0.53327
0,-27.3908,-1.92128,-1.44797,0.575661,0.504419
0,-26.3378,-0.0878799,-1.58709,0.65138,0.467267
0,-27.0997,-0.390789,-1.52617,0.659816,0.459079
0,-31.6172,-6.48755,-1.4495,0.427846,0.535213
0,-26.8976,-1.35054,-1.56715,0.758101,0.49869
0,-28.1609,-2.18891,-1.56746,0.655779,0.528712
0,-27.0631,-0.937985,-1.56851,0.653409,0.510271
0,-29.3996,-1.61431,-1.50449,0.645627,0.434986
0,-27.9894,-1.80205,-1.50694,0.538046,0.509976
0,-28.9412,-1.50545,-1.57886,0.502179,0.497523
0,-29.2261,-1.47534,-1.64097,0.568425,0.508604
0,-28.9719,-2.87543,-1.70288,0.491635,0.456043
0,-33.9143,-7.53636,-1.855,0.47961,0.469472
0,-26.8574,-0.826472,-1.60095,0.725621,0.49398
0,-27.6051,-0.617431,-1.52425,0.55292,0.481252
0,-26.4779,-0.311512,-1.63463,0.649565,0.471916
0,-27.2872,-1.79816,-1.70471,0.722173,0.468511
0,-26.7435,-0.0924022,-1.56075,0.600642,0.477953
0,-28.3117,-1.16334,-1.58256,0.541355,0.503244
0,-27.6131,-1.43591,-1.5973,0.599382,0.434976
0,-26.5888,-0.176435,-1.61093,0.61342,0.469587
0,-30.0276,-2.48709,-1.62783,0.638304,0.529822
0,-26.531,-0.393826,-1.52485,0.69783,0.473178
0,-31.4356,-2.87187,-1.52261,0.505828,0.430093
0,-26.3071,-0.538854,-1.63881,0.671238,0.462612
0,-27.1138,-1.07794,-1.62016,0.585517,0.444887
0,-28.0267,-2.0276,-1.40328,0.646149,0.485593
0,-26.5959,-1.87022,-1.65389,0.650261,0.433962
0,-36.0027,-5.85642,-1.66707,0.404354,0.524288
0,-28.7539,-1.77865,-1.53495,0.504556,0.503446
0,-29.2327,-1.67877,-1.60725,0.477668,0.475982
0,-28.2114,-0.941193,-1.61185,0.560803,0.500182
